Date,ProductID,WarehouseID,OnHand,UnitCost
2017-01-31,P001,6,568,2867.51
2017-02-28,P001,6,369,2867.51
2017-03-31,P001,6,165,2867.51
2017-04-30,P001,6,216,2867.51
2017-05-31,P001,6,69,2867.51
2017-06-30,P001,6,76,2867.51
2017-07-31,P001,6,244,2867.51
2017-08-31,P001,6,62,2867.51
2017-09-30,P001,6,44,2867.51
2017-10-31,P001,6,233,2867.51
2017-11-30,P001,6,220,2867.51
2017-12-31,P001,6,37,2867.51
2017-01-31,P001,8,28,2867.51
2017-02-28,P001,8,60,2867.51
2017-03-31,P001,8,66,2867.51
2017-04-30,P001,8,66,2867.51
2017-05-31,P001,8,49,2867.51
2017-06-30,P001,8,65,2867.51
2017-07-31,P001,8,59,2867.51
2017-08-31,P001,8,71,2867.51
2017-09-30,P001,8,74,2867.51
2017-10-31,P001,8,89,2867.51
2017-11-30,P001,8,90,2867.51
2017-12-31,P001,8,73,2867.51
2017-01-31,P001,9,113,2867.51
2017-02-28,P001,9,32,2867.51
2017-03-31,P001,9,46,2867.51
2017-04-30,P001,9,51,2867.51
2017-05-31,P001,9,47,2867.51
2017-06-30,P001,9,54,2867.51
2017-07-31,P001,9,51,2867.51
2017-08-31,P001,9,75,2867.51
2017-09-30,P001,9,105,2867.51
2017-10-31,P001,9,116,2867.51
2017-11-30,P001,9,107,2867.51
2017-12-31,P001,9,102,2867.51
2017-01-31,P002,3,0,2326.27
2017-02-28,P002,3,0,2326.27
2017-03-31,P002,3,0,2326.27
2017-04-30,P002,3,0,2326.27
2017-05-31,P002,3,0,2326.27
2017-06-30,P002,3,0,2326.27
2017-07-31,P002,3,0,2326.27
2017-08-31,P002,3,0,2326.27
2017-09-30,P002,3,0,2326.27
2017-10-31,P002,3,0,2326.27
2017-11-30,P002,3,0,2326.27
2017-12-31,P002,3,0,2326.27
2017-01-31,P002,7,122,2326.27
2017-02-28,P002,7,117,2326.27
2017-03-31,P002,7,120,2326.27
2017-04-30,P002,7,138,2326.27
2017-05-31,P002,7,144,2326.27
2017-06-30,P002,7,145,2326.27
2017-07-31,P002,7,133,2326.27
2017-08-31,P002,7,152,2326.27
2017-09-30,P002,7,146,2326.27
2017-10-31,P002,7,156,2326.27
2017-11-30,P002,7,48,2326.27
2017-12-31,P002,7,44,2326.27
2017-01-31,P002,8,53,2326.27
2017-02-28,P002,8,19,2326.27
2017-03-31,P002,8,9,2326.27
2017-04-30,P002,8,9,2326.27
2017-05-31,P002,8,6,2326.27
2017-06-30,P002,8,17,2326.27
